"Project Number","File Number","Condo Name","County","Street City State Zip","Units","Recorded Date","Primary Status","Secondary Status","Managing Entity Number","Managing Entity Name","Managing Entity Route","Managing Entity Street","Managing Entity City","Managing Entity State","Managing Entity Zip"
"PR1P000847","51033","ARBOREAL, A CONDO","Sarasota","5125 WEBBER STREET, SARASOTA, FL 33582","30","12/02/1980","Approved","Delinquent","MA00002921","ARBOREAL CONDO ASSN INC","C/O MARKEL MANAGEMENT INC","PO BOX 21058","SARASOTA","FL","34276"
"PR1P008098","51926","NEW AMERICA USA ONE, A CONDO","Pasco","8602 PIONEER TRAIL, PORT RICHEY, FL 34668","64","03/01/1983","Approved","Delinquent","MA00003569","NEW AMERICA USA CONDO ASSN INC","C/O PORT RITCHIE TOWNEHOMES LLC","1541 EAST 29TH ST","BROOKLYN","NY","11229"
"PR1P001170","51077","JEFFERSON PINES, A CONDO","Sarasota","701 N JEFFERSON AVE, SARASOTA, FL 34237-4442","69","01/07/1982","Approved","Delinquent","MA00008750","JEFFERSON PINES CONDO ASSN INC","C/O MITCHELL ASSOCIATION MANAGEMENT","5940 PALMER BLVD","SARASOTA","FL","34232"
"PR1M020640","50214","BLUFFS AT THE HEATHER CONDO #4 THE","Hernando","8135 STURBRIDGE COURT, BROOKSVILLE, FL 34613","20","08/04/1995","Approved","Delinquent","MA00019303","BLUFFS AT THE HEATHER CONDO ASSN INC THE","C/O QUALIFIED PROPERTY MGMT","5901 U.S. 19","NEW PORT RICHEY","FL","34652"
"PR1M020641","50215","BLUFFS AT THE HEATHER CONDO #5 THE","Hernando","8150 STURBRIDGE COURT, BROOKSVILLE, FL 34613","20","09/29/1989","Approved","Delinquent","MA00019303","BLUFFS AT THE HEATHER CONDO ASSN INC THE","C/O QUALIFIED PROPERTY MGMT","5901 U.S. 19","NEW PORT RICHEY","FL","34652"
"PR1G024928","46597","SHORES OF LONG BAYOU VI, A CONDO, THE","Pinellas","6551 SHORELINE DRIVE, ST. PETERSBURG, FL 33708","30","01/21/2000","Approved","Delinquent","MA00023242","SHORES OF LONG BAYOU VI CONDO ASSN INC","C/O LEADING EDGE, CAM","901 NORTH HERCULES AVENUE","CLEARWATER","FL","33765"
"PR1P009576","52107","HERONMERE II, A CONDO","Sarasota","MARSH FIELD, SARASOTA, FL 33580","72","05/09/1980","Approved","Delinquent","MA00010953","HERONMERE II ASSN INC @ THE MEADOWS","C/O PMI CAPSTONE ASSOCIATION MGMT","8588 POTTER PARK DR, SUITE 500","SARASOTA","FL","34238"
"PR1G025655","46656","SHORES OF LONG BAYOU IX, A CONDO, THE","Pinellas","6450 SHORELINE DRIVE, ST. PETERSBURG, FL 33708","30","09/21/2001","Approved","Delinquent","MA00024052","SHORES OF LONG BAYOU IX CONDO ASSOC., INC.","C/O CONDOMINIUM ASSOCIATES","3001 EXECUTIVE DRIVE SUITE 260","CLEARWATER","FL","33762"
"PR1P010347","52189","LAKESIDE CONDOS OF RIDGE GARDENS A CONDO","Pasco","6551 DEEB ST, PORT RICHEY, FL 33568","32","07/24/1981","Approved","Delinquent","MA00004669","RIDGE GARDEN CONDO ASSN INC","C/O WINDTREE TIC PARTICIPANT 1 LLC","2329 NOSTRAND AVE","BROOKLYN","NY","11210"
"PR1M004915","47662","BAYSHORE-ON-THE-LAKE CONDO APTS PH II, SEC 1","Manatee","3500 LAKE BAYSHORE DR, BRADENTON, FL 34205-5147","80","04/15/1980","Approved","Delinquent","MA00004822","BAYSHORE-ON-THE-LAKE CONDO PH II ASSN INC","","2025 LAKEWOOD RANCH BLVD #203","BRADENTON","FL","34211"
"PR1M004916","47663","BAYSHORE-ON-THE-LAKE CONDO APTS PH II, SEC 2","Manatee","3521 LAKE BAYSHORE DR, BRADENTON, FL 34205-5121","80","04/15/1980","Approved","Delinquent","MA00004822","BAYSHORE-ON-THE-LAKE CONDO PH II ASSN INC","","2025 LAKEWOOD RANCH BLVD #203","BRADENTON","FL","34211"
"PR1M004917","47664","BAYSHORE-ON-THE-LAKE CONDO APTS PH II, SEC 3","Manatee","3500 LAKE BAYSHORE DR, BRADENTON, FL 34205-5147","150","10/22/1980","Approved","Delinquent","MA00004822","BAYSHORE-ON-THE-LAKE CONDO PH II ASSN INC","","2025 LAKEWOOD RANCH BLVD #203","BRADENTON","FL","34211"
"PR1L005856","46823","FAIRVIEW MOBILE HOME PARK","Hillsborough","7103 - 7168 FAIRVIEW PARK DR, TAMPA, FL 33619","47","12/08/1982","Approved","Delinquent","MA00003007","FAIRVIEW PARK, INC.","C/O SIERRA MOODY, ASSN PRESIDENT","8631 DEEP MAPLE DR","RIVERVIEW","FL","33578"
"PR1L013942","46870","GARDEN LAKES VILLAGE, SEC 1","Manatee","5511 39TH ST E, BRADENTON, FL 34203-5501","25","11/16/1983","Approved","Delinquent","MA00006333","GARDEN LAKES VILLAGE I ASSN INC","C/O COMMUNITY ASSOCIATION MGMT BY STACIA","1800 2ND STREET","SARASOTA","FL","34246"
"PR1L026057","46979","4TH AVENUE CONDO","Manatee","4006 5TH AVE, HOLMES BEACH, FL 34217","6","06/05/2002","Approved","Delinquent","MA00024442","4TH AVENUE CONDO ASSN INC","C/O JEFFREY MCDONNOUGH, UNIT OWNER","27631 PINE POINT DR","WESLEY CHAPEL","FL","33544"
"PR1P006383","51743","PARK EAST CONDO","Pinellas","70TH AVE AND 50TH ST S, PINELLAS PARK, FL 33565","32","11/18/1982","Approved","Delinquent","MA00012983","PARK EAST OF PINELLAS PARK INC","C/O NOBLE PROPERTY MGMT","13191 STARKEY RD","LARGO","FL","33773"
