"Project Number","File Number","Condo Name","County","Street City State Zip","Units","Recorded Date","Primary Status","Secondary Status","Managing Entity Number","Managing Entity Name","Managing Entity Route","Managing Entity Street","Managing Entity City","Managing Entity State","Managing Entity Zip"
"PR1M002559","47339","MONTEREY FOUR, A CONDO","Dade","821 N.E. 209TH LANE, MIAMI, FL 33179","120","12/12/1984","Approved","Delinquent","MA00001968","MONTEREY HOMEOWNERS ASSOCIATION INC","","865 N.E. 209 STREET","MIAMI","FL","33179"
"PR1P008737","52001","COUNTRY CLUB VILLAS TOWNHOMES, A CONDO","Dade","20440 NW 15TH AVE, MIAMI, FL 33169","50","05/09/1979","Approved","Delinquent","MA00011481","COUNTRY CLUB VILLAS TOWNHOMES CONDO ASSN INC","C/O ALLIED PROPERTY GROUP INC","12350 SW 132 COURT","MIAMI","FL","33186"
"PR1G024198","46542","POINCIANA ROYALE VILLAS CONDO II","Dade","7512 W 20TH AVE, HIALEAH, FL 33016","48","11/12/1997","Approved","Delinquent","MA00022484","POINCIANA ROYALE VILLAS CONDO II ASN INC","","PO BOX 160460","HIALEAH ","FL","33016"
"PR1P009241","52064","RAINBOW VILLAS CONDO","Dade","549- 571 N.E. 12TH AVE., HOMESTEAD, FL 33030","12","07/06/1992","Approved","Delinquent","MA00014946","RAINBOW VILLAS CONDOS","C/O PALM VILLAS TOWNHOMES INC, OWNER","11350 SW 95TH ST","MIAMI","FL","33176"
"PR1P009418","52082","O D A HOMES, A CONDO","Dade","6699 SW  137TH COURT, MIAMI, FL 33183-2264","44","01/08/1985","Approved","Delinquent","MA00005412","O D A HOMES CONDO ASSN, INC","","PO BOX 832335","MIAMI","FL","33283"
"PR1P002094","51179","MANGO HILL CONDO NO. XIX","Dade","978 TO 986 WEST 40TH STREET, HIALEAH, FL 33012","5","09/14/1982","Approved","Delinquent","MA00008396","MANGO HILL CONDO ASSN, # XIX, INC","C/O ARMANDO LEON, OWNER","11569 SW 5 ST","MIAMI","FL","33174"
"PR1G026689","46760","ARMITAGE PLACE NO. 1A, A CONDO","Dade","243 MERIDIAN AVENUE, MIAMI BEACH, FL 33139","10","12/28/2006","Approved","Delinquent","MA00025082","ARMITAGE PLACE NO 1A CONDO ASSOC INC","","1521 ALTON ROAD, #703","MIAMI BEACH","FL","33139"
"PR1P006312","51733","VILLAS AT UNIVERSITY SQUARE (THE)","Dade","SW 20TH ST & SW 107TH AVE, MIAMI, FL 33145","240","10/24/1983","Approved","Delinquent","MA00013219","VILLAS AT UNIVERSITY SQUARE CONDO ASSN","C/O LAW OFFICE OF JOHN P ARCIA","175 SW 7TH STREET STE 2000","MIAMI","FL","33130"
"PR1M024038","50770","LAKE FOREST PARK CONDO II","Dade","6247 SW 131 PL & 13150 SW 62 T, MIAMI, FL 33183","16","08/15/1997","Approved","Delinquent","MA00022348","LAKE FOREST PARK MASTER CONDO ASSN, INC","","1500 NW 89 CT","MIAMI","FL","33126"
"PR1M024039","50771","LAKE FOREST PARK CONDO III","Dade","6216 S.W. 131 PLACE, MIAMI, FL 33183","32","08/15/1997","Approved","Delinquent","MA00022348","LAKE FOREST PARK MASTER CONDO ASSN, INC","","1500 NW 89 CT","MIAMI","FL","33126"
"PR1M024041","50773","LAKE FOREST PARK CONDO V","Dade","6201 SW 131 CT & 6208 SW 131 S, MIAMI, FL 33183","32","08/15/1997","Approved","Delinquent","MA00022348","LAKE FOREST PARK MASTER CONDO ASSN, INC","","1500 NW 89 CT","MIAMI","FL","33126"
"PR1M024042","50774","LAKE FOREST PARK CONDO VI","Dade","6210 SW 131 CT & 6217 SW 131 P, MIAMI, FL 33183","32","08/15/1997","Approved","Delinquent","MA00022348","LAKE FOREST PARK MASTER CONDO ASSN, INC","","1500 NW 89 CT","MIAMI","FL","33126"
"PR1M024043","50775","LAKE FOREST PARK CONDO VII","Dade","6203 S.W. 131 COURT, MIAMI, FL 33183","32","08/15/1997","Approved","Delinquent","MA00022348","LAKE FOREST PARK MASTER CONDO ASSN, INC","","1500 NW 89 CT","MIAMI","FL","33126"
"PR1M024037","50769","LAKE FOREST PARK CONDO I","Dade","6241 S.W. 131ST PLACE, MIAMI, FL 33183","16","08/15/1997","Approved","Delinquent","MA00022348","LAKE FOREST PARK MASTER CONDO ASSN, INC","","1500 NW 89 CT","MIAMI","FL","33126"
"PR1M024044","50776","LAKE FOREST PARK CONDO VIII","Dade","6221 S.W. 131 COURT, MIAMI, FL 33183","32","08/15/1997","Approved","Delinquent","MA00022348","LAKE FOREST PARK MASTER CONDO ASSN, INC","","1500 NW 89 CT","MIAMI","FL","33126"
"PR1M002558","47338","MONTEREY THREE,A CONDO","Dade","821 NE 209 LANE, MIAMI, FL 33179","72","10/25/1984","Approved","Delinquent","MA00001968","MONTEREY HOMEOWNERS ASSOCIATION INC","","865 N.E. 209 STREET","MIAMI","FL","33179"
"PR1M024040","50772","LAKE FOREST PARK CONDO IV","Dade","6219 SW 131 PL & 13150 SW 62 T, MIAMI, FL 33183","32","08/15/1997","Approved","Delinquent","MA00022348","LAKE FOREST PARK MASTER CONDO ASSN, INC","","1500 NW 89 CT","MIAMI","FL","33126"
"PR1P001745","51136","FLORIDIAN VILLAS CONDO","Dade","641 TO 653 W 68TH ST, HIALEAH, FL 33014","17","03/29/1983","Approved","Delinquent","MA00000743","FLORIDIAN VILLAS CONDO ASSN., INC.","C/O AHNR LLC, OWNER","855 NE 365TH LANE","OKEECHOBEE","FL","34972"
"PR1M002180","47282","WOODRIDGE AT THE CALIFORNIA CLUB #1","Dade","20432 & 20434 NE 10 COURT, MIAMI, FL 33179","2","01/01/1979","Approved","Recorded","MA00001949","CALIFORNIA CLUB HOMES, HOME OWNERS' ASSOCIATION INC","C/O CHERYL J LEVIN PA, REGISTERED AGT","4694 NW 103RD AVE","SUNRISE","FL","33351"
"PR1M002181","47283","WOODRIDGE AT THE CALIFORNIA CLUB #2","Dade","1001 & 1003 NE 204 LANE, MIAMI, FL 33179","2","01/01/1980","Approved","Recorded","MA00001949","CALIFORNIA CLUB HOMES, HOME OWNERS' ASSOCIATION INC","C/O CHERYL J LEVIN PA, REGISTERED AGT","4694 NW 103RD AVE","SUNRISE","FL","33351"
"PR1M002182","47284","WOODRIDGE AT THE CALIFORNIA CLUB #3","Dade","1000 & 1002 NE 204 LANE, MIAMI, FL 33179","2","01/01/1979","Approved","Recorded","MA00001949","CALIFORNIA CLUB HOMES, HOME OWNERS' ASSOCIATION INC","C/O CHERYL J LEVIN PA, REGISTERED AGT","4694 NW 103RD AVE","SUNRISE","FL","33351"
"PR1M002184","47286","WOODRIDGE AT THE CALIFORNIA CLUB #5","Dade","1015 & 1017 NE 204 LANE, MIAMI, FL 33179","2","01/01/1979","Approved","Recorded","MA00001949","CALIFORNIA CLUB HOMES, HOME OWNERS' ASSOCIATION INC","C/O CHERYL J LEVIN PA, REGISTERED AGT","4694 NW 103RD AVE","SUNRISE","FL","33351"
"PR1M002185","47287","WOODRIDGE AT THE CALIFORNIA CLUB #6","Dade","1010 & 1012 NE 204 LANE, MIAMI, FL 33179","2","12/29/1978","Approved","Recorded","MA00001949","CALIFORNIA CLUB HOMES, HOME OWNERS' ASSOCIATION INC","C/O CHERYL J LEVIN PA, REGISTERED AGT","4694 NW 103RD AVE","SUNRISE","FL","33351"
"PR1M002186","47288","WOODRIDGE AT THE CALIFORNIA CLUB #7","Dade","1016 & 1018 NE 204 LANE, MIAMI, FL 33179","2","12/29/1978","Approved","Recorded","MA00001949","CALIFORNIA CLUB HOMES, HOME OWNERS' ASSOCIATION INC","C/O CHERYL J LEVIN PA, REGISTERED AGT","4694 NW 103RD AVE","SUNRISE","FL","33351"
"PR1M002187","47289","WOODRIDGE AT THE CALIFORNIA CLUB #8","Dade","1019 & 1021 NE 204 LANE, MIAMI, FL 33179","2","01/01/1979","Approved","Recorded","MA00001949","CALIFORNIA CLUB HOMES, HOME OWNERS' ASSOCIATION INC","C/O CHERYL J LEVIN PA, REGISTERED AGT","4694 NW 103RD AVE","SUNRISE","FL","33351"
"PR1M002188","47290","WOODRIDGE AT THE CALIFORNIA CLUB #9","Dade","1025 & 1027 NE 204 LANE, MIAMI, FL 33179","2","01/01/1980","Approved","Recorded","MA00001949","CALIFORNIA CLUB HOMES, HOME OWNERS' ASSOCIATION INC","C/O CHERYL J LEVIN PA, REGISTERED AGT","4694 NW 103RD AVE","SUNRISE","FL","33351"
"PR1M002189","47291","WOODRIDGE AT THE CALIFORNIA CLUB #10","Dade","1020 & 1022 NE 204 LANE, MIAMI, FL 33179","2","01/01/1979","Approved","Recorded","MA00001949","CALIFORNIA CLUB HOMES, HOME OWNERS' ASSOCIATION INC","C/O CHERYL J LEVIN PA, REGISTERED AGT","4694 NW 103RD AVE","SUNRISE","FL","33351"
