"Project Number","File Number","Condo Name","County","Street City State Zip","Units","Recorded Date","Primary Status","Secondary Status","Managing Entity Number","Managing Entity Name","Managing Entity Route","Managing Entity Street","Managing Entity City","Managing Entity State","Managing Entity Zip"
"PR1M000671","47041","ST. AUGUSTINE OCEAN & RACQUET CLUB ONE, A CONDO","St. Johns","1071 HIGHWAY A1A SOUTH, ST. AUGUSTINE, FL 32084","132","09/02/1982","Approved","Delinquent","MA00012093","ST AUGUSTINE OCEAN & RACQUET CLUB CONDO ASSN","C/O ROBERT JONES","120 SEA GROVE MAIN ST","SAINT AUGUSTINE","FL","32080"
"PR1M000672","47042","ST. AUGUSTINE OCEAN & RACQUET CLUB THREE A CONDO","St. Johns","HIGHWAY A1A SOUTH, ST. AUGUSTINE BEACH, FL 32084-3687","57","06/28/1984","Approved","Delinquent","MA00012093","ST AUGUSTINE OCEAN & RACQUET CLUB CONDO ASSN","C/O ROBERT JONES","120 SEA GROVE MAIN ST","SAINT AUGUSTINE","FL","32080"
"PR1P000495","50995","LAS PALMAS CONDO","Duval","2461 PEELER ROAD, JACKSONVILLE, FL 32211","25","11/14/1983","Approved","Delinquent","MA00003865","LAS PALMAS CONDOMINIUM ASSOCIATION OF JACKSONVILLE, INC.","C/O PRIME MANAGEMENT ENTERPRISE LLC","100 E PINE ST, STE 110","ORLANDO","FL","32801"
"PR1P000673","51017","ST. AUGUSTINE OCEAN & RACQUET CLUB TWO, A CONDO","St. Johns","1071 HIGHWAY A1A SOUTH, ST. AUGUSTINE BEACH, FL 32084","90","06/24/1983","Approved","Delinquent","MA00012093","ST AUGUSTINE OCEAN & RACQUET CLUB CONDO ASSN","C/O ROBERT JONES","120 SEA GROVE MAIN ST","SAINT AUGUSTINE","FL","32080"
"PR1P009454","52091","SUN KING TOWERS & YACHT CLUB CONDO","Okaloosa","400 DURANGO RD, DESTIN, FL 32541-3062","44","01/22/1982","Approved","Delinquent","MA00009491","SUN KING TOWERS AND YACHT CLUB CONDO OWNER'S ASSN","","PO BOX 9086","MIRAMAR BEACH","FL","32550"
"PR1P003251","51328","FORT KING VILLAS CONDO","Marion","1326 SE FORT KING ST, OCALA, FL 34471-2444","9","07/01/1983","Approved","Delinquent","MA00010683","FORT KING VILLAS CONDO ASSN INC","C/O FORT KING VILLAS LLC","1500 SW 17TH PLACE, STE 300","OCALA","FL","34471"
"PR1P004001","51441","PLANTATION PLACE, A CONDO","Escambia","7150 PLANTATION RD, PENSACOLA, FL 32504-6201","48","08/08/1983","Approved","Delinquent","MA00008060","PLANTATION PLACE CONDO ASSN INC","","6750 CYPRESS RD","PLANTATION","FL","33317"
"PR1P004223","51483","VILLAS ON THE SQUARE, A CONDO","Escambia","5001 GRANDE DR, PENSACOLA, FL 32504-8967","108","08/27/1984","Approved","Delinquent","MA00006807","VILLAS ON THE SQUARE CONDO ASSN OF PENSACOLA INC","C/O FIRSTSERVICE RESIDENTIAL","14620 PERDIDO KEY DR, SUITE 300","PENSACOLA","FL","32507"
"PR1M001964","47218","REGENCY TOWERS","Bay","5710 THOMAS DR, PANAMA CITY, FL 32407-6716","170","04/24/1975","Approved","Recorded","MA64415","REGENCY TOWERS OWNERS' ASSN, INC","","5801 THOMAS DR","PANAMA CITY","FL","32408"
"PR1M001965","47219","REGENCY TOWERS, A CONDO PH 2","Bay","5801 THOMAS DR, PANAMA CITY BEACH, FL 32407-6735","170","11/10/1981","Approved","Recorded","MA64415","REGENCY TOWERS OWNERS' ASSN, INC","","5801 THOMAS DR","PANAMA CITY","FL","32408"
"PR1G022784","46443","COLONY AT PONTE VEDRA I, A CONDO","St. Johns","15 PONTE VEDRA COLONY DRIVE, PONTE VEDRA BEACH, FL 32082","8","03/24/1994","Approved","Recorded","MA00021120","COLONY AT PONTE VEDRA I CONDO ASSN #150","","PO BOX 3362","PONTE VEDRA BEACH","FL","32004"
"PR1M003345","47424","PLAYERS CLUB ON THE BAY","Walton","AUDUBON DRIVE, SAN DESTIN RESORT, FL 32541","28","06/21/1985","Approved","Recorded","MA00009224","PLAYERS CLUB ON THE BAY INC","C/O SOUTHERN ASSOCIATION MANAGEMENT","36468 EMERALD COAST PARKWAY","DESTIN","FL","32541"
"PR1M001185","47071","SAND CASTLES WEST I A CONDO","Bay","17214 W HIGHWAY 98 A, PANAMA CITY BEACH, FL 32407-2159","30","06/20/1984","Approved","Recorded","MA00001866","SAND CASTLES WEST COMMUNITY ASSN INC","","17214 FRONT BEACH RD","PANAMA CITY BEACH","FL","32413"
"PR1M001186","47072","SAND CASTLES WEST II A CONDO","Bay","17214 W ALTERNATE HIGHWAY 98, PANAMA CITY BEACH, FL 32407-2159","12","06/21/1985","Approved","Recorded","MA00001866","SAND CASTLES WEST COMMUNITY ASSN INC","","17214 FRONT BEACH RD","PANAMA CITY BEACH","FL","32413"
"PR1M000414","47016","AMELIA SURF & RACQUET CLUB I, A CONDO","Nassau","800 AMELIA ISLAND PKY SOUTH, FERNANDINA, FL 32034-9699","36","02/12/1982","Approved","Recorded","MA00011800","AMELIA SURF & RACQUET CLUB ASSN INC","C/O AMELIA ISLAND MANAGEMENET","5440 FIRST COAST HWY","AMELIA ISLAND","FL","32034"
"PR1M000415","47017","AMELIA SURF & RACQUET CLUB II, A CONDO","Nassau","800 AMELIA ISLAND PKWY SOUTH, AMELIA ISLAND, FL 32034","36","05/03/1982","Approved","Recorded","MA00011800","AMELIA SURF & RACQUET CLUB ASSN INC","C/O AMELIA ISLAND MANAGEMENET","5440 FIRST COAST HWY","AMELIA ISLAND","FL","32034"
"PR1M000416","47018","AMELIA SURF & RACQUET CLUB III","Nassau","800 AMELIA ISLAND PKWY S, AMELIA ISLAND, FL 32034","84","07/11/1983","Approved","Recorded","MA00011800","AMELIA SURF & RACQUET CLUB ASSN INC","C/O AMELIA ISLAND MANAGEMENET","5440 FIRST COAST HWY","AMELIA ISLAND","FL","32034"
"PR1M012510","49153","AMELIA LANDINGS I, A BEACH & RACQUET RESORT ON AMEILA","Nassau","67 SADLER ROAD, FERNANDINA BEACH, FL 32034-3031","30","05/27/1983","Approved","Recorded","MA00004080","AMELIA LANDINGS PROPERTY OWNERS' ASN INC","C/O AMELIA ISLAND MGMT","5440 FIRST COAST HWY","AMELIA ISLAND","FL","32034"
"PR1M012511","49154","AMELIA LANDINGS II","Nassau","76 SADLER ROAD, FERNANDINA BEACH, FL 32034-4424","30","12/27/1983","Approved","Recorded","MA00004080","AMELIA LANDINGS PROPERTY OWNERS' ASN INC","C/O AMELIA ISLAND MGMT","5440 FIRST COAST HWY","AMELIA ISLAND","FL","32034"
"PR1M012517","49155","EDGEWATER GOLF & VILLAS III - B","Bay","520 BECKRICH RD, PANAMA CITY BEACH, FL 32407-3629","24","07/23/1986","Approved","Recorded","MA00003711","EDGEWATER BEACH RESORT COMMUNITY ASN INC","C/O MAXET MANAGEMENT GROUP","415 RICHARD JACKSON BLVD","PANAMA CITY BEACH","FL","32407"
"PR1M019810","50065","POINT LAGOON PH III, A CONDO","Bay","8501 N LAGOON DR, PANAMA CITY BEACH, FL 32407-4521","12","12/28/1987","Approved","Recorded","MA00005819","POINT LAGOON COMMUNITY ASSOC., INC.","","8501 N LAGOON DR #100","PANAMA CITY BEACH","FL","32408"
"PR1M019891","50084","EDGEWATER TOWER III","Bay","11347 W ALT HIGHWAY 98, PANAMA CITY BEACH, FL 32407","166","04/16/1990","Approved","Recorded","MA00003711","EDGEWATER BEACH RESORT COMMUNITY ASN INC","C/O MAXET MANAGEMENT GROUP","415 RICHARD JACKSON BLVD","PANAMA CITY BEACH","FL","32407"
"PR1M008930","48282","GENEVA SPRINGS V, A CONDO","Bradford","STATE ROAD 21, MELROSE, FL 32666","4","01/31/1986","Approved","Recorded","MA00021258","GENEVA SPRINGS CONDO HOMEOWNERS ASSN, INC","","3075 SE STATE ROAD 21 #4","MELROSE","FL","32666"
"PR1M009007","48294","OCEAN GALLERY VILLAGE DEL LAGO UNIT 1 (THE)","St. Johns","RR 05, SAINT AUGUSTINE BCH, FL 32084-9805","33","11/17/1983","Approved","Recorded","MA00010155","OCEAN GALLERY VILLAGE DEL LAGO CONDO ASSOC INC, THE","","4600 AIA S","ST AUGUSTINE BEACH","FL","32084-9478"
