"PR1V024561",68153,"1005 MERIDIAN, A CONDO","Dade","1005 MERIDIAN AVENUE","MIAMI BEACH","FL","33139",16,06/01/1998,"Approved","Recorded","MA00022873","1005 MERIDIAN CONDO ASSN INC","C/O BLUE SKY MIAMI INC","1680 MICHIGAN AVENUE SUITE 908","MIAMI BEACH","FL","33139-2550"
"PR71025",73046,"101 LOFTS, A CONDO","Palm Beach","101 N CLEMANTIS ST","WEST PALM BEACH","FL","33401",59,03/10/2005,"Approved","Delinquent","MA65957","101 LOFTS CONDO ASSOC, INC","C/O VESTA PROPERTY SERVICES","4440 PGA BLVD SUITE # 600","PALM BEACH GARDENS","FL","33410"
"PR1V008603",67331,"1014 CONDO","Broward","1435 SE 10TH AVE","FORT LAUDERDALE","FL","333162674",4,12/31/1985,"Approved","Delinquent","MA00007137","1014 CONDO APTS ASSN INC","C/O JOHN FRANCEK, REGISTERED AGENT","1435 SE 10TH AVE #4","FORT LAUDERDALE","FL","33316"
"PR73095",75138,"102 1ST AVENUE CONDO","Pinellas","102 1ST AVENUE","INDIAN ROCKS BEACH","FL","33785",3,06/07/2006,"Approved","Delinquent","MA68021","102 1ST AVENUE CONDO ASSN INC","C/O MATT VENTURA","6532 DAWSON RD","CINCINNATI","OH","45243"
"PR1V014297",67652,"10210 LANAI CONDO, A CONDO","Dade","10210 COLLINS AVE","BAL HARBOUR","FL","331541435",24,02/01/1984,"Approved","Recorded","MA00011603","10210 LANAI CONDO ASSN INC","C/O JACK GELINAS, PRESIDENT","10210 COLLINS AVE #101","BAL HARBOUR","FL","33154"
"PR70826",72846,"1032 - 1036 EUCLID AVENUE, A CONDO","Dade"," 1032 - 1036 EUCLID AVENUE","MIAMI BEACH","FL","33139",3,04/18/2005,"Approved","Recorded","MA65758","1032 - 1036 EUCLID AVENUE CONDO ASSN, INC","C/O MONICA PINZONI","1036 EUCLID AVENUE","MIAMI BEACH","FL","33139"
"PR76580",78745,"1035 EUCLID, A CONDO","Dade","1035 EUCLID AVE","MIAMI BEACH","FL","33139",16,08/22/2017,"Approved","Recorded","MA71666","1035 EUCLID CONDO ASSN, INC","C/O MIAMI POWERHOUSE MANAGEMENT","1000 FIFTH STREET SUITE 1314","MIAMI BEACH","FL","33139"
"PR72865",74908,"1045 MERIDIAN CONDO","Dade","1045 MERIDIAN AVENUE","MIAMI BEACH","FL","33139",8,12/31/2005,"Approved","Recorded","MA67793","1045 CONDOMINIUM ASSN",,"655 W FLAGLER ST SUITE 207","MIAMI","FL","33130"
"PR73190",75233,"10670 PINECREST, A CONDO THE","Dade"," 10670-72 SW 77 AVE","MIAMI","FL","33156",2,03/31/2006,"Approved","Recorded","MA68118","10670 PINECREST CONDO ASSN, INC THE",," 10670-72 SW 77 AVE","MIAMI","FL","33156"
"PR74541",76615,"1100 WEST, A CONDO","Dade","1100 WEST AVE","MIAMI BEACH","FL","33139-4749",352,07/16/2007,"Approved","Recorded","MA69488","1100 WEST CONDO ASSN, INC.","C/O SAMUEL A PERSAUD","9100 S DADELAND BLVD SUITE 400","MIAMI","FL","33156"
"PR1V008946",67363,"1104 CONDO","Palm Beach","1104 HIGHLAND BEACH DR","HIGHLAND BEACH","FL","334873309",3,08/19/1983,"Approved","Delinquent","MA00009574","1104 CONDO ASSN INC","C/O ROSS BLOOM","1104 HIGHLAND BEACH DRIVE, UNIT 1","HIGHLAND BEACH","FL","33487"
"PR75205",77311,"1113 WATSON STREET CONDO","Monroe","1113 WATSON STREET","KEY WEST","FL","33040",2,12/03/2007,"Acknowledged","Recorded","MA70189","1113 WATSON STREET CONDO ASSN INC",,"1113 WATSON STREET","KEY WEST","FL","33040"
"PR69734",71755,"1120 ON 7TH STREET, A CONDO THE","Dade","1120 7TH STREET","MIAMI BEACH","FL","33139",4,06/17/2004,"Approved","Recorded","MA64685","1120 ON 7TH STREET CONDO ASSN INC THE",,"7466 NW 8TH STREET","MIAMI","FL","33126"
"PR71128",73149,"1201-1203 NW 4TH ST CONDO","Alachua"," 1201-1203 NW 4TH ST","GAINESVILLE","FL","32601",2,05/04/2005,"Approved","Recorded","MA66060","1201-1203 NW 4TH ST CONDO ASSN INC",,"120 NW 4TH STREET","GAINESVILLE","FL","32601"
"PR75759",77918,"1202 Condo, A Condo","Palm Beach","1202 PALM TRAIL","DELRAY BEACH","FL","33483",6,01/16/1980,"Acknowledged","Delinquent","MA70808","1202 Condo Assoc Inc","C/O PATRICIA NAVILIO"," PO BOX 139","BLACK HAWK","CO","80422"
"PR72699",74742,"1205 VIRGINIA STREET, A CONDO","Monroe","1205 VIRGINIA ST","KEY WEST","FL","33040",4,08/18/2006,"Approved","Recorded","MA67624","1205 VIRGINIA ST, A CONDO , INC","C/O PINE CREEK LLC","6940 VILLAGREEN VW","ROCKFORD","IL","61107"
"PR1V024321",68126,"12100 CONDO","Dade","12100 NW 23RD MANOR","CORAL SPRINGS","FL","330653282",2,12/03/1997,"Approved","Recorded","MA00022608","12100 CONDO ASSN INC",," PO BOX: 110454","MIAMI","FL","33111"
"PR1V022797",67971,"1211 PENNSYLVANIA CONDO","Dade","1211 PENNSYLVANIA AVENUE","MIAMI BEACH","FL","33139",13,07/27/1994,"Approved","Recorded","MA00021133","1211 PENNSYLVANIA CONDO ASSN INC","C/O KRISTINA MANGOLD"," PO BOX 191042","MIAMI BEACH","FL","33119"
"PR72031",74063,"1215 BEACH DRIVE NE, A CONDO","Pinellas","1215 BEACH DRIVE NE","ST. PETERSBURG","FL","33701",4,10/06/2005,"Approved","Recorded","MA66968","1215 BEACH DRIVE NE CONDO ASSN INC","C/O ELITE ASSOCIATION MANAGEMENT, INC"," PO BOX 41094","ST. PETERSBURG","FL","33741"
"PR1V025341",68239,"1235 MERIDIAN CONDO","Dade","1235 MERIDIAN AVENUE","MIAMI BEACH","FL","33139",8,06/12/2000,"Approved","Delinquent","MA00023705","1235 MERIDIAN CONDO ASSN INC",,"750 COLLINS AVE SUITE 100","MIAMI BEACH","FL","33139"
"PR1V025355",68242,"1236 DREXEL CONDO","Dade","1236 DREXEL AVENUE","MIAMI BEACH","FL","33139",8,04/27/2000,"Approved","Recorded","MA00023720","1236 DREXEL CONDO ASSN INC","C/O RACHELE ADOVASIO","1236 DREXEL AVE #7","MIAMI BEACH","FL","33139"
"PR1V005802",67162,"1245 WEST AVENUE CONDO","Dade","1245 W. AVE. APT 303","MIAMI BEACH","FL","33139",16,05/06/1980,"Approved","Delinquent","MA00015781","1245 WEST AVENUE CONDO ASSN",,"765 ARTHUR GODFREY RD","MIAMI BEACH","FL","33140"
"PR73435",75486,"1300 PENNSYLVANIA, A CONDO","Dade","1300 PENNSYLVANIA AVE","MIAMI BEACH","FL","33139",29,09/19/2008,"Approved","Recorded","MA68357","1300 PENNSYLVANIA CONDO ASSN","C/O ROYAL MANAGEMENT GROUP","750 COLLINS AVE SUITE 100","MIAMI BEACH","FL","33139"
"PR70674",72694,"1301 SOHO CONDO","Hillsborough","1301 S. HOWARD AVE","TAMPA","FL","33602",72,01/14/2005,"Approved","Recorded","MA65608","1301 SOHO CONDO ASSOC, INC",,"18550 N DALE MABRY HWY","LUTZ","FL","33548"
"PR1V006841",67228,"1302 NEW WORLD AVENUE CONDO","Broward","1302 NEW WORLD AVE","LANTANA","FL","334621451",4,01/18/1984,"Approved","Delinquent","MA00002206","1302 NEW WORLD AVENUE CONDO ASSN INC","C/O P SALMI","1302 NEW WORLD AVE #1","LANTANA","FL","33462"
"PR1V026231",68373,"1344 EUCLID AVENUE CONDO","Dade","1344 EUCLID AVE","MIAMI BEACH","FL","33139",5,01/03/2003,"Approved","Recorded","MA00024621","1344 EUCLID AVE CONDO INC",,"1234 WASHINGTON AVE SUITE 300","MIAMI BEACH","FL","33139"
"PR72684",74727,"1353 HOLLY HEIGHTS CONDO","Broward","1353 HOLLY HEIGHTS DRIVE","FORT LAUDERDALE","FL","33304",6,05/25/2006,"Approved","Recorded","MA67610","1353 HOLLY HEIGHTS CONDO ASSN INC",,"1353 HOLLY HEIGHTS DR, UNIT #4","FORT LAUDERDALE","FL","33304"
"PR1V008679",67340,"135TH STREET CONDO","Dade","2920 NW 135TH ST","OPA-LOCKA","FL","33054",6,04/26/1982,"Approved","Delinquent","MA00006064","135TH ST. CONDO, INC.","C/O BBM INVESTMENTS INC","723 NE 193 ST","MIAMI","FL","33179"
"PR71755",73787,"13817 BOTTLEBRUSH COURT CONDO","Palm Beach","13817 BOTTLEBRUSH COURT","WELLINGTON","FL","33414",4,07/14/2005,"Approved","Recorded","MA66689","13817 BOTTLEBRUSH COURT CONDO ASSN INC","C/O PETER WIESNER","1593 TROTTER COURT","WELLINGTON","FL","33414"
"PR1V020146",67831,"1390 OCEAN DRIVE CONDO","Dade","1390 OCEAN DR","MIAMI BEACH","FL","331394224",32,03/28/1988,"Approved","Recorded","MA00018692","1390 OCEAN DRIVE CONDO ASSN INC","C/O STREAMLINE PROPERTIES, INC","1125 WASHINGTON AVE","MIAMI BEACH","FL","33139"
"PR1V026799",68454,"1400 WHITE STREET","Monroe","1400 WHITE STREET","KEY WEST","FL","33040",3,12/06/2002,"Approved","Recorded","MA00025198","1400 WHITE STREET CONDO ASSN INC","C/O JULIE BOKHOF","1400 WHITE ST UNIT C","KEYWEST","FL","33040"
"PR71756",73788,"14004 VERONICA COURT CONDO","Palm Beach","14004 VERONICA COURT","WELLINGTON","FL","33414",4,07/14/2005,"Approved","Recorded","MA66690","14004 VERONICA COURT CONDO ASSN INC",,"1593 TROTTER COURT","WELLINGTON","FL","33414"
"PR76198",78361,"1419 WEST, A CONDO","Dade","1419 WEST AVENUE","MIAMI BEACH","FL","33139",10,12/02/2015,"Approved","Recorded","MA71259","1419 WEST AVENUE CONDO ASSN INC","C/O EUROPEAN AMERICAN PROP SERV LLC","655 W FLAGLER STREET #207","MIAMI","FL","33130"
"PR1V022381",67929,"1446 LENNOX, A CONDO","Dade","1446 LENOX AVENUE","MIAMI BEACH","FL","33139",8,06/30/1993,"Approved","Recorded","MA00020747","1446 LENNOX CONDO ASSN INC",," PO BOX 191042","MIAMI BEACH","FL","33119"
"PR1V023882",68078,"ALAWRA CONDO","Dade","1455 MICHIGAN AVENUE","MIAMI BEACH","FL","33139",19,04/24/1997,"Approved","Delinquent","MA00022182","1455 MICHIGAN AVE OWNERS ASSN INC","C/O FYVE PROPERTY MANAGEMENT","1370 WASHINGTON AVE SUITE 301","MIAMI BEACH","FL","33139"
