"Program Area","Project County Code","Project Number","Project Name","Project Street","Project Address Line2","Project City","Project State","Project Zip","Billing Year","Amount Billed","Amount Paid","Pending Amount Due"
"Condominium Project","23","PR1S001681","J TWIN VILLAS CONDO 1","20455 SW 92ND CT 1","","MIAMI","FL","331892434","2026","","",""
"Condominium Project","23","PR1S001681","J TWIN VILLAS CONDO 1","20455 SW 92ND CT 1","","MIAMI","FL","331892434","2023","","",""
"Condominium Project","23","PR1S001681","J TWIN VILLAS CONDO 1","20455 SW 92ND CT 1","","MIAMI","FL","331892434","2022","","",""
"Condominium Project","23","PR1S001681","J TWIN VILLAS CONDO 1","20455 SW 92ND CT 1","","MIAMI","FL","331892434","2024","","",""
"Condominium Project","23","PR1S001681","J TWIN VILLAS CONDO 1","20455 SW 92ND CT 1","","MIAMI","FL","331892434","2025","","",""
"Condominium Project","16","PR1S023307","J-MAR CONDO","3105 N.E. 28TH ST","","FORT LAUDERDALE","FL","33308","2026","44","44","0"
"Condominium Project","16","PR1S023307","J-MAR CONDO","3105 N.E. 28TH ST","","FORT LAUDERDALE","FL","33308","2025","44","58.56","0"
"Condominium Project","16","PR1S023307","J-MAR CONDO","3105 N.E. 28TH ST","","FORT LAUDERDALE","FL","33308","2024","44","53.24","0"
"Condominium Project","16","PR1S023307","J-MAR CONDO","3105 N.E. 28TH ST","","FORT LAUDERDALE","FL","33308","2022","44","44","0"
"Condominium Project","16","PR1S023307","J-MAR CONDO","3105 N.E. 28TH ST","","FORT LAUDERDALE","FL","33308","2023","44","48.4","0"
"Condominium Project","15","PR1S015022","J. M. CONDO","1531,1535, S ORLANDO AVE","","COCOA BEACH","FL","32931","2025","12","0","14.52"
"Condominium Project","15","PR1S015022","J. M. CONDO","1531,1535, S ORLANDO AVE","","COCOA BEACH","FL","32931","2026","12","39.72","-27.72"
"Condominium Project","15","PR1S015022","J. M. CONDO","1531,1535, S ORLANDO AVE","","COCOA BEACH","FL","32931","2023","12","12","0"
"Condominium Project","15","PR1S015022","J. M. CONDO","1531,1535, S ORLANDO AVE","","COCOA BEACH","FL","32931","2022","12","13.2","0"
"Condominium Project","15","PR1S015022","J. M. CONDO","1531,1535, S ORLANDO AVE","","COCOA BEACH","FL","32931","2024","12","0","13.2"
"Condominium Project","60","PR1S016644","J.F.K. MEDICAL CONDO","100 J F KENNEDY CIR","","ATLANTIS","FL","334621120","2024","64","85.18","0"
"Condominium Project","60","PR1S016644","J.F.K. MEDICAL CONDO","100 J F KENNEDY CIR","","ATLANTIS","FL","334621120","2022","64","70.4","0"
"Condominium Project","60","PR1S016644","J.F.K. MEDICAL CONDO","100 J F KENNEDY CIR","","ATLANTIS","FL","334621120","2023","64","77.44","0"
"Condominium Project","60","PR1S016644","J.F.K. MEDICAL CONDO","100 J F KENNEDY CIR","","ATLANTIS","FL","334621120","2026","","",""
"Condominium Project","60","PR1S016644","J.F.K. MEDICAL CONDO","100 J F KENNEDY CIR","","ATLANTIS","FL","334621120","2025","64","64","0"
"Condominium Project","23","PR1S023072","J.M.C. GARDENS CONDO","13700 N.E. 3RD COURT","","NORTH MIAMI","FL","33161","2022","56","56","0"
"Condominium Project","23","PR1S023072","J.M.C. GARDENS CONDO","13700 N.E. 3RD COURT","","NORTH MIAMI","FL","33161","2023","56","56","0"
"Condominium Project","23","PR1S023072","J.M.C. GARDENS CONDO","13700 N.E. 3RD COURT","","NORTH MIAMI","FL","33161","2024","56","56","0"
"Condominium Project","23","PR1S023072","J.M.C. GARDENS CONDO","13700 N.E. 3RD COURT","","NORTH MIAMI","FL","33161","2025","56","56","0"
"Condominium Project","23","PR1S023072","J.M.C. GARDENS CONDO","13700 N.E. 3RD COURT","","NORTH MIAMI","FL","33161","2026","56","56","0"
"Condominium Project","23","PR1P009190","J.R. CONDO","5344 W 24TH AVE","","HIALEAH","FL","33016","2026","192","192","0"
"Condominium Project","23","PR1P009190","J.R. CONDO","5344 W 24TH AVE","","HIALEAH","FL","33016","2025","192","192","0"
"Condominium Project","23","PR1P009190","J.R. CONDO","5344 W 24TH AVE","","HIALEAH","FL","33016","2024","192","192","0"
"Condominium Project","23","PR1P009190","J.R. CONDO","5344 W 24TH AVE","","HIALEAH","FL","33016","2023","192","192","0"
"Condominium Project","23","PR1P009190","J.R. CONDO","5344 W 24TH AVE","","HIALEAH","FL","33016","2022","192","192","0"
"Condominium Project","62","PR70207","JACARANDA BEACH VILLAS CONDO","5500 GULF BOULEVARD","","ST.PETE BEACH","FL","33706","2022","1152","1152","0"
