"Project Number","File Number","Condo Name","County","Street City State Zip","Units","Recorded Date","Primary Status","Secondary Status","Managing Entity Number","Managing Entity Name","Managing Entity Route","Managing Entity Street","Managing Entity City","Managing Entity State","Managing Entity Zip"
"PR1M002527","47334","MARINER CAY I","Martin","3901 SE ST LUCIE BLVD, STUART, FL 34997-6176","32","10/01/1972","Approved","Delinquent","MA00001404","MARINER CAY PROPERTY OWNERS ASSN INC","C/O ADVANTAGE PROPERTY MGMT","1111 SE FEDERAL HWY, STE 100","STUART","FL","34994"
"PR1P000643","51013","CHESTERBROOK TWO, A CONDO","Lake","500 NEWELL HILL RD, LEESBURG, FL 32748-9286","12","01/01/1979","Approved","Delinquent","MA00002049","CHESTERBROOK OF LEESBURG CONDO ASSN","C/O SIGNATURE MANAGEMENT SOLUTIONS LLC","686 N HUNT CLUB BLVD, SUITE 180","LONGWOOD","FL","32779"
"PR1P000644","51014","CHESTERBROOK TWO PH II, A CONDO","Lake","500 NEWELL HILL RD, LEESBURG, FL 32748-9286","12","01/22/1980","Approved","Delinquent","MA00002049","CHESTERBROOK OF LEESBURG CONDO ASSN","C/O SIGNATURE MANAGEMENT SOLUTIONS LLC","686 N HUNT CLUB BLVD, SUITE 180","LONGWOOD","FL","32779"
"PR1P000645","51015","CHESTERBROOK TWO PH III A CONDO","Lake","500 NEWELL HILL RD, LEESBURG, FL 32748-9286","16","07/18/1980","Approved","Delinquent","MA00002049","CHESTERBROOK OF LEESBURG CONDO ASSN","C/O SIGNATURE MANAGEMENT SOLUTIONS LLC","686 N HUNT CLUB BLVD, SUITE 180","LONGWOOD","FL","32779"
"PR1L021666","46911","COURTYARDS OF COLLEGE PARK CONDOS","Orange","226 ORLANDO STREET, ORLANDO, FL 32806","4","12/26/1990","Approved","Delinquent","MA00020105","COURTYARDS OF COLLEGE PARK CONDO ASN INC","C/O NANCY VISOVATTI","225 S WESTMONTE DR, SUITE 1160","ALTAMONTE SPRINGS","FL","32714"
"PR1M006945","47887","LAKE PINELOCH VILLAGE 1, A CONDO","Orange","1200 E MICHIGAN ST, ORLANDO, FL 32806-4708","36","05/03/1983","Approved","Delinquent","MA00000890","LAKE PINELOCH VILLAGE CONDO ASSN, INC","","1317 LAKE WILLISARA CIRCLE","ORLANDO","FL","32806"
"PR1L024426","46954","MILANO AT WINTER PARK, A LAND CONDO","Orange","648 & 650 OSCEOLA AVENUE, WINTER PARK, FL 32789","6","11/03/1997","Approved","Delinquent","MA00022735","MILANO AT WINTER PARK CONDO ASSN INC","","PO BOX 2337","WINTER PARK","FL","32790"
"PR1P006751","51780","LA VITA, A CONDO","Seminole","600 MONTGOMERY ROAD, ALTAMONTE SPRINGS, FL 32714-3182","108","05/01/1986","Approved","Delinquent","MA00003009","LA VITA CONDO ASSN INC","","2300 MAITLAND CENTER PKWY, STE 101","MAITLAND","FL","32751"
"PR1M009754","48488","TYMBER SKAN ON THE LAKE SECTION 3","Orange","4250 GREEN POCKET LANE, ORLANDO, FL 32809-1008","124","04/30/1973","Approved","Delinquent","MA70568","TYMBER SKAN ON THE LAKE OWNERS ASSOC, SECTION THREE, INC","C/O SG REAL PROPERTY LLC","13211 LONG GREEN PIKE","HYDES","MD","21082-9715"
"PR1P010808","52256","NORTHLAKE VILLAGE CONDO IV","Seminole","700 LAKE MINNIE DRIVE, SANFORD, FL 32771","24","02/25/1986","Approved","Delinquent","MA00014360","NORTHLAKE CONDO IV ASSN INC","C/O EMPIRE MANAGEMENT GROUP INC","801 N MAIN STREET","KISSIMMEE","FL","34744"
