"Program Area","Project County Code","Project Number","Project Name","Project Street","Project Address Line2","Project City","Project State","Project Zip","Billing Year","Amount Billed","Amount Paid","Pending Amount Due"
"Condominium Project","23","PR75842","D'GEMS CONDO","619 MERIDIAN AVENUE","","MIAMI BEACH","FL","33139","2022","24","24","0"
"Condominium Project","23","PR75842","D'GEMS CONDO","619 MERIDIAN AVENUE","","MIAMI BEACH","FL","33139","2023","24","0","26.4"
"Condominium Project","23","PR75842","D'GEMS CONDO","619 MERIDIAN AVENUE","","MIAMI BEACH","FL","33139","2024","24","0","29.04"
"Condominium Project","23","PR75842","D'GEMS CONDO","619 MERIDIAN AVENUE","","MIAMI BEACH","FL","33139","2025","24","0","31.94"
"Condominium Project","23","PR75842","D'GEMS CONDO","619 MERIDIAN AVENUE","","MIAMI BEACH","FL","33139","2026","","",""
"Condominium Project","46","PR1S005340","D'IOR CONDO","1412 SE 40TH ST","","CAPE CORAL","FL","339047984","2022","24","24","0"
"Condominium Project","46","PR1S005340","D'IOR CONDO","1412 SE 40TH ST","","CAPE CORAL","FL","339047984","2023","24","24","0"
"Condominium Project","46","PR1S005340","D'IOR CONDO","1412 SE 40TH ST","","CAPE CORAL","FL","339047984","2024","24","24","0"
"Condominium Project","46","PR1S005340","D'IOR CONDO","1412 SE 40TH ST","","CAPE CORAL","FL","339047984","2025","24","24","0"
"Condominium Project","46","PR1S005340","D'IOR CONDO","1412 SE 40TH ST","","CAPE CORAL","FL","339047984","2026","24","24","0"
"Condominium Project","23","PR70198","DA VINCI ON DOUGLAS, A CONDO","2665 SW 37TH AVENUE","","MIAMI","FL","33433","2022","800","968","0"
"Condominium Project","23","PR70198","DA VINCI ON DOUGLAS, A CONDO","2665 SW 37TH AVENUE","","MIAMI","FL","33433","2023","800","800","0"
"Condominium Project","23","PR70198","DA VINCI ON DOUGLAS, A CONDO","2665 SW 37TH AVENUE","","MIAMI","FL","33433","2024","800","880","0"
"Condominium Project","23","PR70198","DA VINCI ON DOUGLAS, A CONDO","2665 SW 37TH AVENUE","","MIAMI","FL","33433","2025","800","800","0"
"Condominium Project","23","PR70198","DA VINCI ON DOUGLAS, A CONDO","2665 SW 37TH AVENUE","","MIAMI","FL","33433","2026","800","800","0"
"Condominium Project","62","PR73999","DA VINCI, A CONDO","940 GULF BLVD","","INDIAN ROCKS BEACH","FL","33785","2022","84","84","0"
"Condominium Project","62","PR73999","DA VINCI, A CONDO","940 GULF BLVD","","INDIAN ROCKS BEACH","FL","33785","2023","84","84","0"
"Condominium Project","62","PR73999","DA VINCI, A CONDO","940 GULF BLVD","","INDIAN ROCKS BEACH","FL","33785","2024","84","84","0"
"Condominium Project","62","PR73999","DA VINCI, A CONDO","940 GULF BLVD","","INDIAN ROCKS BEACH","FL","33785","2025","84","84","0"
"Condominium Project","62","PR73999","DA VINCI, A CONDO","940 GULF BLVD","","INDIAN ROCKS BEACH","FL","33785","2026","84","84","0"
"Condominium Project","23","PR1V007747","DADE PLACE, A CONDO","2430 NE 135TH ST","","NORTH MIAMI","FL","331813533","2022","104","104","0"
"Condominium Project","23","PR1V007747","DADE PLACE, A CONDO","2430 NE 135TH ST","","NORTH MIAMI","FL","331813533","2024","104","104","0"
"Condominium Project","23","PR1V007747","DADE PLACE, A CONDO","2430 NE 135TH ST","","NORTH MIAMI","FL","331813533","2023","104","104","0"
"Condominium Project","23","PR1V007747","DADE PLACE, A CONDO","2430 NE 135TH ST","","NORTH MIAMI","FL","331813533","2026","104","104","0"
"Condominium Project","23","PR1V007747","DADE PLACE, A CONDO","2430 NE 135TH ST","","NORTH MIAMI","FL","331813533","2025","104","104","0"
"Condominium Project","23","PR69603","DADELAND BREEZES CONDO","7713 N KENDALL DR","","KENDALL","FL","33156","2022","1224","1224","0"
"Condominium Project","23","PR69603","DADELAND BREEZES CONDO","7713 N KENDALL DR","","KENDALL","FL","33156","2023","1224","1224","0"
"Condominium Project","23","PR69603","DADELAND BREEZES CONDO","7713 N KENDALL DR","","KENDALL","FL","33156","2024","1224","1224","0"
"Condominium Project","23","PR69603","DADELAND BREEZES CONDO","7713 N KENDALL DR","","KENDALL","FL","33156","2025","1224","1224","0"
"Condominium Project","23","PR69603","DADELAND BREEZES CONDO","7713 N KENDALL DR","","KENDALL","FL","33156","2026","1224","1224","0"
"Condominium Project","23","PR70044","DADELAND CAPRI, A CONDO","7475 SW 82 STREET","","MIAMI","FL","33143","2022","480","528","0"
"Condominium Project","23","PR70044","DADELAND CAPRI, A CONDO","7475 SW 82 STREET","","MIAMI","FL","33143","2023","480","480","0"
"Condominium Project","23","PR70044","DADELAND CAPRI, A CONDO","7475 SW 82 STREET","","MIAMI","FL","33143","2024","480","480","0"
"Condominium Project","23","PR70044","DADELAND CAPRI, A CONDO","7475 SW 82 STREET","","MIAMI","FL","33143","2025","480","480","0"
"Condominium Project","23","PR70044","DADELAND CAPRI, A CONDO","7475 SW 82 STREET","","MIAMI","FL","33143","2026","480","480","0"
"Condominium Project","23","PR1V009904","DADELAND GROVE, A CONDO","6882 N KENDALL DR","","MIAMI","FL","331561519","2025","656","656","0"
"Condominium Project","23","PR1V009904","DADELAND GROVE, A CONDO","6882 N KENDALL DR","","MIAMI","FL","331561519","2026","656","656","0"
"Condominium Project","23","PR1V009904","DADELAND GROVE, A CONDO","6882 N KENDALL DR","","MIAMI","FL","331561519","2023","656","656","0"
"Condominium Project","23","PR1V009904","DADELAND GROVE, A CONDO","6882 N KENDALL DR","","MIAMI","FL","331561519","2024","656","656","0"
"Condominium Project","23","PR1V009904","DADELAND GROVE, A CONDO","6882 N KENDALL DR","","MIAMI","FL","331561519","2022","656","656","0"
"Condominium Project","23","PR1S003235","DADELAND PARK CONDO","7505 SW 82ND ST","","MIAMI","FL","331437325","2026","","",""
"Condominium Project","23","PR1S003235","DADELAND PARK CONDO","7505 SW 82ND ST","","MIAMI","FL","331437325","2025","252","0","304.92"
"Condominium Project","23","PR1S003235","DADELAND PARK CONDO","7505 SW 82ND ST","","MIAMI","FL","331437325","2024","252","0","277.2"
"Condominium Project","23","PR1S003235","DADELAND PARK CONDO","7505 SW 82ND ST","","MIAMI","FL","331437325","2023","252","252","0"
"Condominium Project","23","PR1S003235","DADELAND PARK CONDO","7505 SW 82ND ST","","MIAMI","FL","331437325","2022","252","252","0"
"Condominium Project","23","PR74073","DADELAND PLACE, A CONDO","9001 SW 77TH AVE","","MIAMI","FL","33755","2022","636","636","0"
"Condominium Project","23","PR74073","DADELAND PLACE, A CONDO","9001 SW 77TH AVE","","MIAMI","FL","33755","2023","636","636","0"
"Condominium Project","23","PR74073","DADELAND PLACE, A CONDO","9001 SW 77TH AVE","","MIAMI","FL","33755","2024","636","636","0"
