"Program Area","Project County Code","Project Number","Project Name","Project Street","Project Address Line2","Project City","Project State","Project Zip","Billing Year","Amount Billed","Amount Paid","Pending Amount Due"
"Condominium Project","23","PR75247","P & S APARTMENTS, A CONDO","410 EUCLID AVENUE","","MIAMI BEACH","FL","33139","2022","60","66","0"
"Condominium Project","23","PR75247","P & S APARTMENTS, A CONDO","410 EUCLID AVENUE","","MIAMI BEACH","FL","33139","2023","60","60","0"
"Condominium Project","23","PR75247","P & S APARTMENTS, A CONDO","410 EUCLID AVENUE","","MIAMI BEACH","FL","33139","2024","60","0","66"
"Condominium Project","23","PR75247","P & S APARTMENTS, A CONDO","410 EUCLID AVENUE","","MIAMI BEACH","FL","33139","2025","60","0","72.6"
"Condominium Project","23","PR75247","P & S APARTMENTS, A CONDO","410 EUCLID AVENUE","","MIAMI BEACH","FL","33139","2026","","",""
"Condominium Project","23","PR1S000215","P M C CONDO","2261 W 52ND ST","","HIALEAH","FL","330162091","2023","32","32","0"
"Condominium Project","23","PR1S000215","P M C CONDO","2261 W 52ND ST","","HIALEAH","FL","330162091","2026","","",""
"Condominium Project","23","PR1S000215","P M C CONDO","2261 W 52ND ST","","HIALEAH","FL","330162091","2025","32","0","35.2"
"Condominium Project","23","PR1S000215","P M C CONDO","2261 W 52ND ST","","HIALEAH","FL","330162091","2022","32","32","0"
"Condominium Project","23","PR1S000215","P M C CONDO","2261 W 52ND ST","","HIALEAH","FL","330162091","2024","32","32","0"
"Condominium Project","26","PR1V025312","PABLO BEACH HOUSE CONDO","222 NORTH 14TH AVENUE","","JACKSONVILLE BEACH","FL","32250","2024","120","120","0"
"Condominium Project","26","PR1V025312","PABLO BEACH HOUSE CONDO","222 NORTH 14TH AVENUE","","JACKSONVILLE BEACH","FL","32250","2023","120","120","0"
"Condominium Project","26","PR1V025312","PABLO BEACH HOUSE CONDO","222 NORTH 14TH AVENUE","","JACKSONVILLE BEACH","FL","32250","2022","120","120","0"
"Condominium Project","26","PR1V025312","PABLO BEACH HOUSE CONDO","222 NORTH 14TH AVENUE","","JACKSONVILLE BEACH","FL","32250","2026","120","120","0"
"Condominium Project","26","PR1V025312","PABLO BEACH HOUSE CONDO","222 NORTH 14TH AVENUE","","JACKSONVILLE BEACH","FL","32250","2025","120","120","0"
"Condominium Project","26","PR1S013257","PABLO SURFSIDE CONDO","1951 OCEAN DR S","","JACKSONVILLE","FL","322506277","2025","32","32","0"
"Condominium Project","26","PR1S013257","PABLO SURFSIDE CONDO","1951 OCEAN DR S","","JACKSONVILLE","FL","322506277","2026","32","32","0"
"Condominium Project","26","PR1S013257","PABLO SURFSIDE CONDO","1951 OCEAN DR S","","JACKSONVILLE","FL","322506277","2022","32","32","0"
"Condominium Project","26","PR1S013257","PABLO SURFSIDE CONDO","1951 OCEAN DR S","","JACKSONVILLE","FL","322506277","2023","32","32","0"
"Condominium Project","26","PR1S013257","PABLO SURFSIDE CONDO","1951 OCEAN DR S","","JACKSONVILLE","FL","322506277","2024","32","32","0"
"Condominium Project","62","PR1V011513","PACESETTER III, A CONDO","504 67TH AVE","","SAINT PETERSBURG BEA","FL","337062060","2025","52","52","0"
"Condominium Project","62","PR1V011513","PACESETTER III, A CONDO","504 67TH AVE","","SAINT PETERSBURG BEA","FL","337062060","2023","52","52","0"
"Condominium Project","62","PR1V011513","PACESETTER III, A CONDO","504 67TH AVE","","SAINT PETERSBURG BEA","FL","337062060","2022","52","52","0"
"Condominium Project","62","PR1V011513","PACESETTER III, A CONDO","504 67TH AVE","","SAINT PETERSBURG BEA","FL","337062060","2024","52","52","0"
"Condominium Project","62","PR1V011513","PACESETTER III, A CONDO","504 67TH AVE","","SAINT PETERSBURG BEA","FL","337062060","2026","52","52","0"
"Condominium Project","58","PR73160","PACIFICO PLACE CONDOMINIUM","5801 SHENANDOAH WAY","","ORLANDO","FL","32807","2022","","",""
"Condominium Project","58","PR73160","PACIFICO PLACE CONDOMINIUM","5801 SHENANDOAH WAY","","ORLANDO","FL","32807","2023","","",""
"Condominium Project","58","PR73160","PACIFICO PLACE CONDOMINIUM","5801 SHENANDOAH WAY","","ORLANDO","FL","32807","2024","","",""
"Condominium Project","58","PR73160","PACIFICO PLACE CONDOMINIUM","5801 SHENANDOAH WAY","","ORLANDO","FL","32807","2025","","",""
"Condominium Project","58","PR73160","PACIFICO PLACE CONDOMINIUM","5801 SHENANDOAH WAY","","ORLANDO","FL","32807","2026","","",""
"Condominium Project","54","PR70086","PACKER STREET CONDO","914 PACKER STREET","","KEY WEST","FL","33040","2022","20","20","0"
"Condominium Project","54","PR70086","PACKER STREET CONDO","914 PACKER STREET","","KEY WEST","FL","33040","2023","20","20","0"
"Condominium Project","54","PR70086","PACKER STREET CONDO","914 PACKER STREET","","KEY WEST","FL","33040","2024","20","20","0"
"Condominium Project","54","PR70086","PACKER STREET CONDO","914 PACKER STREET","","KEY WEST","FL","33040","2025","20","20","0"
"Condominium Project","54","PR70086","PACKER STREET CONDO","914 PACKER STREET","","KEY WEST","FL","33040","2026","20","20","0"
"Condominium Project","46","PR1P004209","PADDLE CREEK A CONDO","13451-34 MCGREGOR BLVD.","","FORT MYERS","FL","33907","2026","176","176","0"
"Condominium Project","46","PR1P004209","PADDLE CREEK A CONDO","13451-34 MCGREGOR BLVD.","","FORT MYERS","FL","33907","2025","176","176","0"
"Condominium Project","46","PR1P004209","PADDLE CREEK A CONDO","13451-34 MCGREGOR BLVD.","","FORT MYERS","FL","33907","2024","176","176","0"
"Condominium Project","46","PR1P004209","PADDLE CREEK A CONDO","13451-34 MCGREGOR BLVD.","","FORT MYERS","FL","33907","2023","176","176","0"
"Condominium Project","46","PR1P004209","PADDLE CREEK A CONDO","13451-34 MCGREGOR BLVD.","","FORT MYERS","FL","33907","2022","176","176","0"
"Condominium Project","52","PR1S001896","PADDOCK OAKS I, A CONDO","2811 SW 32ND AVE","","OCALA","FL","344743302","2022","144","144","0"
"Condominium Project","52","PR1S001896","PADDOCK OAKS I, A CONDO","2811 SW 32ND AVE","","OCALA","FL","344743302","2023","144","144","0"
"Condominium Project","52","PR1S001896","PADDOCK OAKS I, A CONDO","2811 SW 32ND AVE","","OCALA","FL","344743302","2026","144","144","0"
"Condominium Project","52","PR1S001896","PADDOCK OAKS I, A CONDO","2811 SW 32ND AVE","","OCALA","FL","344743302","2025","144","144","0"
"Condominium Project","52","PR1S001896","PADDOCK OAKS I, A CONDO","2811 SW 32ND AVE","","OCALA","FL","344743302","2024","144","158.4","0"
"Condominium Project","68","PR1L001925","PADDOCKS I, A CONDO (THE)","PORTER ROAD","","SARASOTA","FL","33582","2026","48","48","0"
"Condominium Project","68","PR1L001925","PADDOCKS I, A CONDO (THE)","PORTER ROAD","","SARASOTA","FL","33582","2025","48","48","0"
"Condominium Project","68","PR1L001925","PADDOCKS I, A CONDO (THE)","PORTER ROAD","","SARASOTA","FL","33582","2022","48","48","0"
"Condominium Project","68","PR1L001925","PADDOCKS I, A CONDO (THE)","PORTER ROAD","","SARASOTA","FL","33582","2024","48","48","0"
