"Program Area","Project County Code","Project Number","Project Name","Project Street","Project Address Line2","Project City","Project State","Project Zip","Billing Year","Amount Billed","Amount Paid","Pending Amount Due"
"Condominium Project","23","PR76674","S & T CONDO","644 13 ST","","MIAMI BEACH","FL","33139","2022","16","17.6","0"
"Condominium Project","23","PR76674","S & T CONDO","644 13 ST","","MIAMI BEACH","FL","33139","2023","16","16","0"
"Condominium Project","23","PR76674","S & T CONDO","644 13 ST","","MIAMI BEACH","FL","33139","2024","16","16","0"
"Condominium Project","23","PR76674","S & T CONDO","644 13 ST","","MIAMI BEACH","FL","33139","2025","16","16","0"
"Condominium Project","23","PR76674","S & T CONDO","644 13 ST","","MIAMI BEACH","FL","33139","2026","16","16","0"
"Condominium Project","51","PR70547","SABAL BAY, A CONDO","8325 72ND LANE EAST","","BRADENTON","FL","34201","2022","464","464","0"
"Condominium Project","51","PR70547","SABAL BAY, A CONDO","8325 72ND LANE EAST","","BRADENTON","FL","34201","2023","464","510.4","0"
"Condominium Project","51","PR70547","SABAL BAY, A CONDO","8325 72ND LANE EAST","","BRADENTON","FL","34201","2024","464","561.44","0"
"Condominium Project","51","PR70547","SABAL BAY, A CONDO","8325 72ND LANE EAST","","BRADENTON","FL","34201","2025","464","464","0"
"Condominium Project","51","PR70547","SABAL BAY, A CONDO","8325 72ND LANE EAST","","BRADENTON","FL","34201","2026","464","464","0"
"Condominium Project","23","PR1X017932","SABAL CHASE CONDO #1","10999 S.W. 113TH PLACE","#1","MIAMI","FL","33173","2022","1160","1160","0"
"Condominium Project","23","PR1X017932","SABAL CHASE CONDO #1","10999 S.W. 113TH PLACE","#1","MIAMI","FL","33173","2023","1160","1160","0"
"Condominium Project","23","PR1X017932","SABAL CHASE CONDO #1","10999 S.W. 113TH PLACE","#1","MIAMI","FL","33173","2026","","",""
"Condominium Project","23","PR1X017932","SABAL CHASE CONDO #1","10999 S.W. 113TH PLACE","#1","MIAMI","FL","33173","2025","1160","0","1403.6"
"Condominium Project","23","PR1X017932","SABAL CHASE CONDO #1","10999 S.W. 113TH PLACE","#1","MIAMI","FL","33173","2024","1160","0","1276"
"Condominium Project","23","PR1X017386","SABAL CHASE CONDO #2","10999 S.W. 113TH PLACE #2","","MIAMI","FL","331763177","2025","496","496","0"
